"doctor_id","doctor_name"
D0001,Matthew Smith
D0002,Samantha Davies
D0003,Tiffany Mitchell
D0004,Kevin Wells
D0005,Kathleen Hanna
D0006,Taylor Newton
D0007,Kelly Olson
D0008,Suzanne Thomas
D0009,Daniel Ferguson
D0010,Heather Day
D0011,John Duncan
D0012,Douglas Mayo
D0013,Kenneth Fletcher
D0014,Theresa Freeman
D0015,Roberta Stewart
D0016,Maria Dougherty
D0017,Erica Spencer
D0018,Justin Kim
D0019,Justin Moore Jr.
D0020,Denise Galloway
D0021,Krista Smith
D0022,Gregory Smith
D0023,Vanessa Newton
D0024,Donna Martinez MD
D0025,Stephanie Kramer
D0026,Angela Contreras
D0027,Wendy Glenn
D0028,James Ellis
D0029,Jared Bruce Jr.
D0030,Brandy Mitchell
D0031,Jacob Huynh
D0032,Kristina Frazier
D0033,John Hartman
D0034,Heather Garcia
D0035,Lynn Young
D0036,Emma Allison
D0037,Laura Myers
D0038,Travis Parsons
D0039,Christine Johnson
D0040,Emily Taylor
D0041,William Reynolds
D0042,Jennifer Carter
D0043,Matthew Thomas
D0044,Mary Logan
D0045,Kristin Martinez
D0046,Daniel Murphy
D0047,Emily Patterson
D0048,Heather Smith
D0049,John Smith
D0050,Cameron Young
D0051,Vicki Nguyen
D0052,Mary Moss
D0053,Alexander Garcia
D0054,Patrick Burns
D0055,Kayla Powers
D0056,Julia Cox
D0057,Penny Pruitt
D0058,Mrs. Lori Hurst PhD
D0059,Stephen Carr
D0060,Jacob Daniel
D0061,Tyler Braun
D0062,Cindy Ellis
D0063,Megan Hahn
D0064,Eric Kelly
D0065,Jennifer Larson
D0066,William Hess
D0067,Patricia Dunn
D0068,Jack Jackson
D0069,Jonathan Drake
D0070,Ian Benitez
D0071,Jamie Baker
D0072,Erika Jackson
D0073,Amanda Garcia
D0074,Raven Wong
D0075,Cynthia Scott
D0076,Mark Padilla
D0077,Julie Ramirez
D0078,Jacob Rich
D0079,Mark Hartman Jr.
D0080,Timothy Baker
D0081,Lori Sanchez
D0082,Connie Boyd
D0083,James Tucker
D0084,Juan Acevedo
D0085,Julie Finley
D0086,Miguel Parker
D0087,Jermaine Peters
D0088,Lisa Edwards
D0089,Matthew Walker
D0090,Gregory Hansen
D0091,Jessica Cruz
D0092,Robert Salazar
D0093,Kyle Patterson
D0094,John Summers
D0095,Scott Grant
